appezzamento_id,avversita,serie,giorno,valore,fonte,nota
vidor-cal-nova,oidio,protezione_pct,2026-04-18,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-04-18,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-04-27,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-04-27,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-05-04,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-05-04,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-05-10,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-05-10,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-05-18,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-05-18,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-05-28,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-05-28,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-06-04,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-06-04,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-06-13,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-06-13,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-06-23,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-06-23,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-07-01,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-07-01,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-07-10,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-07-10,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-07-20,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-07-20,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,oidio,protezione_pct,2026-08-01,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
vidor-cal-nova,peronospora,protezione_pct,2026-08-01,100,basf_grafico_ancoraggio,"reset a 100% alla data di trattamento, dichiarato nel grafico"
